iter	MultiClass	WKappa
0	1.519748746	0.3597637956
1	1.391569114	0.4337255531
2	1.343566289	0.4802978204
3	1.312928571	0.4891526588
4	1.284340003	0.4998518496
5	1.272790044	0.5085522844
6	1.260307158	0.5128504905
7	1.24529737	0.5141291538
8	1.233087228	0.518047246
9	1.229120607	0.5229848405
10	1.221722005	0.5257910224
11	1.209063541	0.52572069
12	1.205295253	0.5322488674
13	1.201407463	0.5357589781
14	1.196109028	0.5387778516
15	1.191042811	0.5424514186
16	1.188428376	0.5430615102
17	1.184916771	0.5453320542
18	1.180646394	0.5471037697
19	1.177405305	0.5478959454
20	1.173725834	0.5499452722
21	1.170552199	0.5509903135
22	1.166866248	0.5531824716
23	1.161198111	0.551819449
24	1.153194766	0.5534741207
25	1.148899878	0.5539093971
26	1.146721306	0.5555457113
27	1.143303953	0.5579957003
28	1.139224289	0.5570949744
29	1.136673344	0.5601435859
30	1.133391663	0.560289531
31	1.130878101	0.5611090468
32	1.127094257	0.5646780725
33	1.123886015	0.5662675333
34	1.121411607	0.5677462289
35	1.118417873	0.5682915028
36	1.116595812	0.5684981427
37	1.114470152	0.5683735415
38	1.11152171	0.5697587803
39	1.110195688	0.5711508837
40	1.10749388	0.5713671511
41	1.104873695	0.5730067253
42	1.102738928	0.5724233132
43	1.100471665	0.5730774525
44	1.098424327	0.5736815549
45	1.096438662	0.5743469136
46	1.094465943	0.5740532206
47	1.093155835	0.5744580365
48	1.091670619	0.5760009615
49	1.089307957	0.5769521185
50	1.087082925	0.5777299662
51	1.085046914	0.5799024756
52	1.082411063	0.5812328168
53	1.080889097	0.5819893286
54	1.079245567	0.5837468733
55	1.077065107	0.5848139566
56	1.075342633	0.5857178082
57	1.07331833	0.5873471908
58	1.070878618	0.587870459
59	1.068935268	0.5891625919
60	1.067768618	0.5898406692
61	1.065524561	0.5910653794
62	1.064094301	0.5912693577
63	1.062089224	0.5918569776
64	1.060428707	0.5926905293
65	1.058869653	0.5930567638
66	1.057645691	0.5939193639
67	1.055762169	0.5954208242
68	1.053692612	0.5956597972
69	1.051401365	0.5971992779
70	1.049519351	0.5973728938
71	1.047803908	0.5991532131
72	1.04643837	0.6007011586
73	1.045324103	0.6008737976
74	1.045234484	0.6010957966
75	1.043907685	0.6011171717
76	1.043398709	0.6012519106
77	1.042157647	0.602290825
78	1.04185751	0.6024598807
79	1.040309852	0.6028354281
80	1.039269421	0.6030366931
81	1.037984186	0.602611137
82	1.036728779	0.6028580837
83	1.035266265	0.604159939
84	1.034169132	0.6048291274
85	1.032639292	0.6047763291
86	1.031233718	0.606471149
87	1.029167348	0.6068343429
88	1.027744892	0.6072931364
89	1.02663616	0.608404629
90	1.025267955	0.6093011033
91	1.024113305	0.6104821687
92	1.02260802	0.6120943282
93	1.020953809	0.6134522959
94	1.019161907	0.6139800491
95	1.017229839	0.6158069036
96	1.017190345	0.6154711607
97	1.01607069	0.6162190463
98	1.014805393	0.6162781465
99	1.014738976	0.616394526
