iter	Passed	Remaining
0	69	6838
1	139	6857
2	207	6713
3	279	6717
4	353	6720
5	425	6662
6	502	6676
7	580	6670
8	649	6571
9	719	6477
10	789	6389
11	857	6291
12	929	6218
13	1001	6154
14	1076	6098
15	1149	6032
16	1221	5966
17	1302	5932
18	1383	5897
19	1461	5847
20	1541	5799
21	1623	5754
22	1700	5691
23	1776	5626
24	1854	5564
25	1931	5497
26	2010	5436
27	2090	5375
28	2172	5317
29	2249	5249
30	2332	5190
31	2411	5125
32	2492	5061
33	2574	4997
34	2652	4926
35	2730	4854
36	2808	4782
37	2887	4711
38	2964	4636
39	3043	4565
40	3124	4495
41	3202	4422
42	3283	4352
43	3361	4278
44	3438	4203
45	3526	4140
46	3604	4065
47	3679	3986
48	3760	3914
49	3837	3837
50	3914	3761
51	3995	3688
52	4074	3612
53	4150	3535
54	4227	3458
55	4309	3386
56	4385	3308
57	4468	3235
58	4553	3164
59	4629	3086
60	4707	3010
61	4786	2933
62	4862	2855
63	4939	2778
64	5020	2703
65	5096	2625
66	5175	2549
67	5254	2472
68	5332	2395
69	5414	2320
70	5506	2248
71	5590	2173
72	5673	2098
73	5751	2020
74	5826	1942
75	5904	1864
76	5984	1787
77	6061	1709
78	6146	1633
79	6226	1556
80	6302	1478
81	6384	1401
82	6462	1323
83	6542	1246
84	6622	1168
85	6698	1090
86	6773	1012
87	6852	934
88	6931	856
89	7007	778
90	7090	701
91	7168	623
92	7249	545
93	7327	467
94	7410	390
95	7494	312
96	7574	234
97	7653	156
98	7729	78
99	7809	0
